ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
ch_1_ADC;1500;0;1e+06
333.333;0;0
1000;0;0
1666.67;0;0
2333.33;0;0
3000;0;0
3666.67;0;0
4333.33;0;0
5000;0;0
5666.67;3;1.73205
6333.33;5;2.23607
7000;9;3
7666.67;7;2.64575
8333.33;7;2.64575
9000;6;2.44949
9666.67;10;3.16228
10333.3;10;3.16228
11000;17;4.12311
11666.7;20;4.47214
12333.3;15;3.87298
13000;32;5.65685
13666.7;20;4.47214
14333.3;26;5.09902
15000;36;6
15666.7;23;4.79583
16333.3;23;4.79583
17000;32;5.65685
17666.7;29;5.38516
18333.3;26;5.09902
19000;37;6.08276
19666.7;39;6.245
20333.3;30;5.47723
21000;24;4.89898
21666.7;26;5.09902
22333.3;32;5.65685
23000;26;5.09902
23666.7;27;5.19615
24333.3;20;4.47214
25000;15;3.87298
25666.7;23;4.79583
26333.3;26;5.09902
27000;30;5.47723
27666.7;19;4.3589
28333.3;20;4.47214
29000;18;4.24264
29666.7;16;4
30333.3;18;4.24264
31000;13;3.60555
31666.7;9;3
32333.3;18;4.24264
33000;11;3.31662
33666.7;10;3.16228
34333.3;11;3.31662
35000;13;3.60555
35666.7;13;3.60555
36333.3;8;2.82843
37000;8;2.82843
37666.7;6;2.44949
38333.3;9;3
39000;14;3.74166
39666.7;2;1.41421
40333.3;9;3
41000;6;2.44949
41666.7;8;2.82843
42333.3;6;2.44949
43000;7;2.64575
43666.7;8;2.82843
44333.3;12;3.4641
45000;8;2.82843
45666.7;2;1.41421
46333.3;8;2.82843
47000;2;1.41421
47666.7;1;1
48333.3;3;1.73205
49000;3;1.73205
49666.7;3;1.73205
50333.3;0;0
51000;4;2
51666.7;5;2.23607
52333.3;2;1.41421
53000;1;1
53666.7;4;2
54333.3;8;2.82843
55000;3;1.73205
55666.7;6;2.44949
56333.3;2;1.41421
57000;0;0
57666.7;1;1
58333.3;2;1.41421
59000;2;1.41421
59666.7;1;1
60333.3;2;1.41421
61000;0;0
61666.7;2;1.41421
62333.3;3;1.73205
63000;0;0
63666.7;4;2
64333.3;3;1.73205
65000;3;1.73205
65666.7;1;1
66333.3;2;1.41421
67000;1;1
67666.7;0;0
68333.3;1;1
69000;1;1
69666.7;3;1.73205
70333.3;1;1
71000;1;1
71666.7;1;1
72333.3;3;1.73205
73000;0;0
73666.7;1;1
74333.3;6;2.44949
75000;4;2
75666.7;1;1
76333.3;2;1.41421
77000;2;1.41421
77666.7;0;0
78333.3;0;0
79000;4;2
79666.7;2;1.41421
80333.3;2;1.41421
81000;0;0
81666.7;1;1
82333.3;0;0
83000;3;1.73205
83666.7;2;1.41421
84333.3;2;1.41421
85000;2;1.41421
85666.7;1;1
86333.3;2;1.41421
87000;2;1.41421
87666.7;0;0
88333.3;1;1
