ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
ch_1_ADC;3000;0;1e+06
166.667;0;0
500;0;0
833.333;0;0
1166.67;0;0
1500;0;0
1833.33;0;0
2166.67;0;0
2500;0;0
2833.33;0;0
3166.67;0;0
3500;0;0
3833.33;0;0
4166.67;0;0
4500;0;0
4833.33;0;0
5166.67;0;0
5500;0;0
5833.33;0;0
6166.67;0;0
6500;0;0
6833.33;0;0
7166.67;0;0
7500;0;0
7833.33;0;0
8166.67;0;0
8500;0;0
8833.33;0;0
9166.67;0;0
9500;0;0
9833.33;0;0
10166.7;0;0
10500;0;0
10833.3;0;0
11166.7;0;0
11500;0;0
11833.3;0;0
12166.7;0;0
12500;0;0
12833.3;0;0
13166.7;0;0
13500;0;0
13833.3;0;0
14166.7;0;0
14500;0;0
14833.3;0;0
15166.7;0;0
15500;0;0
15833.3;0;0
16166.7;0;0
16500;0;0
16833.3;0;0
17166.7;0;0
17500;0;0
17833.3;0;0
18166.7;0;0
18500;0;0
18833.3;0;0
19166.7;0;0
19500;0;0
19833.3;18126;134.633
20166.7;4385;66.2193
20500;7105;84.2912
20833.3;6591;81.185
21166.7;4380;66.1816
21500;6844;82.7285
21833.3;4345;65.9166
22166.7;6319;79.4921
22500;5921;76.948
22833.3;4094;63.9844
23166.7;5790;76.092
23500;4009;63.3167
23833.3;5543;74.4513
24166.7;5208;72.1665
24500;3305;57.4891
24833.3;4888;69.9142
25166.7;3076;55.4617
25500;4518;67.2161
25833.3;4250;65.192
26166.7;2593;50.9215
26500;3810;61.7252
26833.3;2529;50.2892
27166.7;3547;59.5567
27500;3707;60.8851
27833.3;2259;47.5289
28166.7;3242;56.9386
28500;2134;46.1952
28833.3;3264;57.1314
29166.7;2993;54.7083
29500;1950;44.1588
29833.3;2939;54.2125
30166.7;1908;43.6807
30500;2589;50.8822
30833.3;2586;50.8527
31166.7;1636;40.4475
31500;2719;52.144
31833.3;1724;41.5211
32166.7;2584;50.8331
32500;2570;50.6952
32833.3;1665;40.8044
33166.7;2547;50.4678
33500;2622;51.2055
33833.3;1710;41.3521
34166.7;2447;49.4672
34500;1627;40.3361
34833.3;2514;50.1398
35166.7;2450;49.4975
35500;1726;41.5452
35833.3;2619;51.1762
36166.7;1700;41.2311
36500;2441;49.4065
36833.3;2671;51.6817
37166.7;1656;40.694
37500;2460;49.5984
37833.3;1755;41.8927
38166.7;2584;50.8331
38500;2442;49.4166
38833.3;1593;39.9124
39166.7;2510;50.0999
39500;1650;40.6202
39833.3;2547;50.4678
40166.7;2482;49.8197
40500;1635;40.4351
40833.3;2442;49.4166
41166.7;1671;40.8779
41500;2475;49.7494
41833.3;2625;51.2348
42166.7;1839;42.8836
42500;2623;51.2152
42833.3;1646;40.5709
43166.7;2654;51.517
43500;2708;52.0384
43833.3;1879;43.3474
44166.7;2700;51.9615
44500;1812;42.5676
44833.3;2721;52.1632
45166.7;2903;53.8795
45500;1829;42.7668
45833.3;2880;53.6656
46166.7;1987;44.5758
46500;2949;54.3047
46833.3;2864;53.5164
47166.7;1861;43.1393
47500;2835;53.2447
47833.3;1901;43.6005
48166.7;3082;55.5158
48500;2947;54.2863
48833.3;2016;44.8999
49166.7;3047;55.1996
49500;2932;54.1479
49833.3;1960;44.2719
50166.7;3066;55.3715
50500;2008;44.8107
50833.3;3002;54.7905
51166.7;2955;54.3599
51500;1937;44.0114
51833.3;2974;54.5344
52166.7;2048;45.2548
52500;3017;54.9272
52833.3;2812;53.0283
53166.7;2066;45.4533
53500;2920;54.037
53833.3;1887;43.4396
54166.7;2973;54.5252
54500;2977;54.5619
54833.3;1830;42.7785
55166.7;2783;52.7541
55500;1862;43.1509
55833.3;2783;52.7541
56166.7;2857;53.4509
56500;1783;42.2256
56833.3;2851;53.3948
57166.7;2004;44.7661
57500;2744;52.3832
57833.3;2598;50.9706
58166.7;1781;42.2019
58500;2824;53.1413
58833.3;1802;42.45
59166.7;2782;52.7447
59500;2771;52.6403
59833.3;1763;41.9881
60166.7;2868;53.5537
60500;1905;43.6463
60833.3;2910;53.9444
61166.7;2746;52.4023
61500;2026;45.0111
61833.3;2689;51.8556
62166.7;1913;43.7379
62500;2800;52.915
62833.3;2732;52.2685
63166.7;1885;43.4166
63500;2638;51.3615
63833.3;1798;42.4028
64166.7;2797;52.8867
64500;2719;52.144
64833.3;1809;42.5323
65166.7;2706;52.0192
65500;2715;52.1057
65833.3;1824;42.7083
66166.7;2846;53.3479
66500;1934;43.9773
66833.3;2849;53.376
67166.7;2784;52.7636
67500;1879;43.3474
67833.3;2779;52.7162
68166.7;1856;43.0813
68500;2835;53.2447
68833.3;2930;54.1295
69166.7;1933;43.9659
69500;3185;56.4358
69833.3;2041;45.1774
70166.7;2877;53.6377
70500;2976;54.5527
70833.3;1931;43.9431
71166.7;2887;53.7308
71500;1939;44.0341
71833.3;2922;54.0555
72166.7;2972;54.5161
72500;2005;44.7772
72833.3;2939;54.2125
73166.7;2014;44.8776
73500;3042;55.1543
73833.3;3037;55.109
74166.7;2095;45.7712
74500;2864;53.5164
74833.3;1868;43.2204
75166.7;3040;55.1362
75500;3055;55.2721
75833.3;2082;45.6289
76166.7;3090;55.5878
76500;1965;44.3283
76833.3;3241;56.9298
77166.7;3194;56.5155
77500;2136;46.2169
77833.3;3369;58.0431
78166.7;2027;45.0222
78500;3162;56.2317
78833.3;3194;56.5155
