ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
ch_1_ADC;3000;0;1e+06
166.667;0;0
500;0;0
833.333;0;0
1166.67;0;0
1500;0;0
1833.33;0;0
2166.67;0;0
2500;0;0
2833.33;0;0
3166.67;0;0
3500;0;0
3833.33;0;0
4166.67;0;0
4500;0;0
4833.33;0;0
5166.67;0;0
5500;0;0
5833.33;0;0
6166.67;0;0
6500;0;0
6833.33;0;0
7166.67;0;0
7500;0;0
7833.33;0;0
8166.67;0;0
8500;0;0
8833.33;0;0
9166.67;0;0
9500;0;0
9833.33;0;0
10166.7;0;0
10500;0;0
10833.3;0;0
11166.7;0;0
11500;0;0
11833.3;0;0
12166.7;0;0
12500;0;0
12833.3;0;0
13166.7;0;0
13500;0;0
13833.3;0;0
14166.7;0;0
14500;0;0
14833.3;0;0
15166.7;0;0
15500;0;0
15833.3;0;0
16166.7;0;0
16500;0;0
16833.3;0;0
17166.7;0;0
17500;0;0
17833.3;0;0
18166.7;0;0
18500;0;0
18833.3;0;0
19166.7;0;0
19500;0;0
19833.3;8743;93.504
20166.7;1536;39.1918
20500;2284;47.7912
20833.3;2141;46.2709
21166.7;1443;37.9868
21500;2271;47.655
21833.3;1544;39.2938
22166.7;2190;46.7974
22500;2131;46.1628
22833.3;1567;39.5854
23166.7;2212;47.0319
23500;1569;39.6106
23833.3;2240;47.3286
24166.7;2299;47.9479
24500;1519;38.9744
24833.3;2238;47.3075
25166.7;1471;38.3536
25500;2383;48.816
25833.3;2218;47.0956
26166.7;1554;39.4208
26500;2269;47.634
26833.3;1559;39.4842
27166.7;2260;47.5395
27500;2406;49.051
27833.3;1512;38.8844
28166.7;2360;48.5798
28500;1476;38.4187
28833.3;2437;49.366
29166.7;2258;47.5184
29500;1544;39.2938
29833.3;2425;49.2443
30166.7;1529;39.1024
30500;2336;48.3322
30833.3;2218;47.0956
31166.7;1504;38.7814
31500;2291;47.8644
31833.3;1589;39.8623
32166.7;2314;48.1041
32500;2370;48.6826
32833.3;1447;38.0395
33166.7;2362;48.6004
33500;2448;49.4773
33833.3;1689;41.0974
34166.7;2324;48.2079
34500;1569;39.6106
34833.3;2390;48.8876
35166.7;2279;47.7389
35500;1650;40.6202
35833.3;2438;49.3761
36166.7;1624;40.2989
36500;2442;49.4166
36833.3;2540;50.3984
37166.7;1569;39.6106
37500;2337;48.3425
37833.3;1727;41.5572
38166.7;2460;49.5984
38500;2380;48.7852
38833.3;1534;39.1663
39166.7;2491;49.9099
39500;1681;41
39833.3;2531;50.309
40166.7;2484;49.8397
40500;1593;39.9124
40833.3;2577;50.7642
41166.7;1713;41.3884
41500;2507;50.07
41833.3;2712;52.0769
42166.7;1834;42.8252
42500;2670;51.672
42833.3;1746;41.7852
43166.7;2698;51.9423
43500;2776;52.6878
43833.3;1983;44.5309
44166.7;2936;54.1849
44500;1940;44.0454
44833.3;2972;54.5161
45166.7;3239;56.9122
45500;1896;43.5431
45833.3;3026;55.0091
46166.7;2191;46.8081
46500;2983;54.6168
46833.3;3066;55.3715
47166.7;2008;44.8107
47500;2937;54.1941
47833.3;2034;45.0999
48166.7;3037;55.109
48500;2893;53.7866
48833.3;2047;45.2438
49166.7;2966;54.461
49500;2804;52.9528
49833.3;2024;44.9889
50166.7;3080;55.4977
50500;2017;44.911
50833.3;2858;53.4603
51166.7;2939;54.2125
51500;1970;44.3847
51833.3;2918;54.0185
52166.7;1976;44.4522
52500;2913;53.9722
52833.3;2939;54.2125
53166.7;2124;46.0869
53500;2986;54.6443
53833.3;1943;44.0795
54166.7;3000;54.7723
54500;2926;54.0925
54833.3;1931;43.9431
55166.7;2832;53.2165
55500;1906;43.6578
55833.3;2794;52.8583
56166.7;2850;53.3854
56500;1876;43.3128
56833.3;2776;52.6878
57166.7;1908;43.6807
57500;2861;53.4883
57833.3;2631;51.2933
58166.7;1801;42.4382
58500;2930;54.1295
58833.3;1788;42.2847
59166.7;2879;53.6563
59500;2815;53.0566
59833.3;1853;43.0465
60166.7;2929;54.1202
60500;1865;43.1856
60833.3;2856;53.4416
61166.7;2856;53.4416
61500;2079;45.5961
61833.3;2874;53.6097
62166.7;1962;44.2945
62500;2979;54.5802
62833.3;2916;54
63166.7;1901;43.6005
63500;2904;53.8888
63833.3;1928;43.909
64166.7;2948;54.2955
64500;2934;54.1664
64833.3;1994;44.6542
65166.7;2961;54.4151
65500;2969;54.4885
65833.3;1914;43.7493
66166.7;3050;55.2268
66500;2089;45.7056
66833.3;3078;55.4797
67166.7;3004;54.8088
67500;1991;44.6206
67833.3;3034;55.0818
68166.7;2010;44.833
68500;3167;56.2761
68833.3;3058;55.2992
69166.7;2049;45.2659
69500;3227;56.8067
69833.3;2135;46.2061
70166.7;3007;54.8361
70500;3126;55.9106
70833.3;2192;46.8188
71166.7;3205;56.6127
71500;2018;44.9222
71833.3;3195;56.5243
72166.7;3135;55.9911
72500;2154;46.4112
72833.3;3063;55.3444
73166.7;2106;45.8912
73500;3333;57.7321
73833.3;3302;57.463
74166.7;2184;46.7333
74500;3187;56.4535
74833.3;2080;45.607
75166.7;3254;57.0438
75500;3374;58.0861
75833.3;2260;47.5395
76166.7;3370;58.0517
76500;2288;47.833
76833.3;3499;59.1523
77166.7;3379;58.1292
77500;2386;48.8467
77833.3;3715;60.9508
78166.7;2242;47.3498
78500;3419;58.4722
78833.3;3525;59.3717
79166.7;2282;47.7703
