ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
ch_1_ADC;3000;0;1e+06
166.667;0;0
500;0;0
833.333;0;0
1166.67;0;0
1500;0;0
1833.33;0;0
2166.67;0;0
2500;0;0
2833.33;0;0
3166.67;0;0
3500;0;0
3833.33;0;0
4166.67;0;0
4500;0;0
4833.33;0;0
5166.67;0;0
5500;0;0
5833.33;0;0
6166.67;0;0
6500;0;0
6833.33;0;0
7166.67;0;0
7500;0;0
7833.33;0;0
8166.67;0;0
8500;0;0
8833.33;0;0
9166.67;0;0
9500;0;0
9833.33;0;0
10166.7;0;0
10500;0;0
10833.3;0;0
11166.7;0;0
11500;0;0
11833.3;0;0
12166.7;0;0
12500;0;0
12833.3;0;0
13166.7;0;0
13500;0;0
13833.3;0;0
14166.7;0;0
14500;0;0
14833.3;0;0
15166.7;0;0
15500;0;0
15833.3;0;0
16166.7;0;0
16500;0;0
16833.3;0;0
17166.7;0;0
17500;0;0
17833.3;0;0
18166.7;0;0
18500;0;0
18833.3;0;0
19166.7;0;0
19500;0;0
19833.3;39094;197.722
20166.7;23526;153.382
20500;32942;181.499
20833.3;26998;164.311
21166.7;16493;128.425
21500;22768;150.891
21833.3;13383;115.685
22166.7;17419;131.981
22500;15335;123.835
22833.3;9274;96.3016
23166.7;12663;112.53
23500;8000;89.4427
23833.3;10567;102.796
24166.7;9190;95.8645
24500;5605;74.8665
24833.3;7784;88.227
25166.7;4834;69.527
25500;7190;84.7939
25833.3;6849;82.7587
26166.7;4245;65.1537
26500;6150;78.4219
26833.3;4162;64.5136
27166.7;6052;77.7946
27500;6132;78.3071
27833.3;4005;63.2851
28166.7;5985;77.3628
28500;3856;62.0967
28833.3;6204;78.7655
29166.7;5654;75.1931
29500;3825;61.8466
29833.3;6000;77.4597
30166.7;3741;61.1637
30500;5792;76.1052
30833.3;5622;74.98
31166.7;3750;61.2372
31500;6039;77.711
31833.3;3923;62.6339
32166.7;5818;76.2758
32500;5753;75.8485
32833.3;3771;61.4085
33166.7;5830;76.3544
33500;6187;78.6575
33833.3;4011;63.3325
34166.7;5981;77.3369
34500;3800;61.6441
34833.3;5775;75.9934
35166.7;5756;75.8683
35500;4149;64.4127
35833.3;6078;77.9615
36166.7;3929;62.6817
36500;5930;77.0065
36833.3;6330;79.5613
37166.7;4028;63.4665
37500;5937;77.0519
37833.3;4255;65.2304
38166.7;6297;79.3536
38500;6145;78.3901
38833.3;3907;62.506
39166.7;6169;78.543
39500;3880;62.2896
39833.3;6063;77.8653
40166.7;6322;79.511
40500;4121;64.195
40833.3;6278;79.2338
41166.7;4258;65.2534
41500;6504;80.6474
41833.3;6804;82.4864
42166.7;4710;68.6294
42500;6815;82.553
42833.3;4385;66.2193
43166.7;6986;83.5823
43500;6942;83.3187
43833.3;5012;70.7955
44166.7;7353;85.7496
44500;4796;69.2532
44833.3;7488;86.5332
45166.7;7798;88.3063
45500;4785;69.1737
45833.3;7330;85.6154
46166.7;5173;71.9236
46500;7264;85.2291
46833.3;7307;85.481
47166.7;4633;68.0661
47500;6937;83.2887
47833.3;4710;68.6294
48166.7;6969;83.4805
48500;6859;82.8191
48833.3;4537;67.3573
49166.7;6830;82.6438
49500;6623;81.3818
49833.3;4522;67.2458
50166.7;6820;82.5833
50500;4659;68.2569
50833.3;6612;81.3142
51166.7;6676;81.7068
51500;4542;67.3944
51833.3;6507;80.666
52166.7;4517;67.2086
52500;6721;81.9817
52833.3;6704;81.878
53166.7;4816;69.3974
53500;6721;81.9817
53833.3;4386;66.2269
54166.7;6734;82.061
54500;6682;81.7435
54833.3;4246;65.1613
55166.7;6351;79.6932
55500;4417;66.4605
55833.3;6417;80.1062
56166.7;6453;80.3306
56500;4423;66.5056
56833.3;6492;80.5729
57166.7;4343;65.9014
57500;6542;80.8826
57833.3;6035;77.6853
58166.7;4156;64.467
58500;6673;81.6884
58833.3;4382;66.1967
59166.7;6580;81.1172
59500;6647;81.5291
59833.3;4227;65.0154
60166.7;6637;81.4678
60500;4501;67.0895
60833.3;6600;81.2404
61166.7;6785;82.3711
61500;4907;70.05
61833.3;6764;82.2435
62166.7;4447;66.6858
62500;6822;82.5954
62833.3;6866;82.8613
63166.7;4458;66.7683
63500;6555;80.963
63833.3;4412;66.4229
64166.7;6679;81.7251
64500;6876;82.9216
64833.3;4609;67.8896
65166.7;6671;81.6762
65500;6885;82.9759
65833.3;4504;67.1118
66166.7;6943;83.3247
66500;4772;69.0797
66833.3;6926;83.2226
67166.7;6931;83.2526
67500;4647;68.1689
67833.3;7126;84.4156
68166.7;4721;68.7095
68500;7241;85.0941
68833.3;7289;85.3756
69166.7;4955;70.3918
69500;7752;88.0454
69833.3;4920;70.1427
70166.7;7238;85.0764
70500;7430;86.1974
70833.3;4835;69.5342
71166.7;7522;86.7295
71500;4890;69.9285
71833.3;7320;85.557
72166.7;7394;85.9884
72500;5046;71.0352
72833.3;7472;86.4407
73166.7;4937;70.2638
73500;7756;88.0682
73833.3;7891;88.8313
74166.7;5024;70.8802
74500;7288;85.3698
74833.3;4969;70.4911
75166.7;7822;88.4421
75500;7903;88.8988
75833.3;5161;71.8401
76166.7;7585;87.0919
76500;5122;71.5681
76833.3;8119;90.1055
77166.7;7870;88.713
77500;5346;73.1163
77833.3;8539;92.4067
78166.7;5242;72.4017
78500;8011;89.5042
78833.3;8111;90.0611
79166.7;5412;73.5663
79500;8084;89.9111
