ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
ch_1_ADC;3000;0;1e+06
166.667;0;0
500;0;0
833.333;0;0
1166.67;0;0
1500;0;0
1833.33;0;0
2166.67;0;0
2500;0;0
2833.33;0;0
3166.67;0;0
3500;0;0
3833.33;0;0
4166.67;0;0
4500;0;0
4833.33;0;0
5166.67;0;0
5500;0;0
5833.33;0;0
6166.67;0;0
6500;0;0
6833.33;0;0
7166.67;0;0
7500;0;0
7833.33;0;0
8166.67;0;0
8500;0;0
8833.33;0;0
9166.67;0;0
9500;0;0
9833.33;0;0
10166.7;0;0
10500;0;0
10833.3;0;0
11166.7;0;0
11500;0;0
11833.3;0;0
12166.7;0;0
12500;0;0
12833.3;0;0
13166.7;0;0
13500;0;0
13833.3;0;0
14166.7;0;0
14500;0;0
14833.3;0;0
15166.7;0;0
15500;0;0
15833.3;0;0
16166.7;0;0
16500;0;0
16833.3;0;0
17166.7;0;0
17500;0;0
17833.3;0;0
18166.7;0;0
18500;0;0
18833.3;0;0
19166.7;0;0
19500;0;0
19833.3;323;17.9722
20166.7;211;14.5258
20500;299;17.2916
20833.3;291;17.0587
21166.7;196;14
21500;291;17.0587
21833.3;175;13.2288
22166.7;296;17.2047
22500;246;15.6844
22833.3;200;14.1421
23166.7;262;16.1864
23500;195;13.9642
23833.3;286;16.9115
24166.7;300;17.3205
24500;171;13.0767
24833.3;269;16.4012
25166.7;182;13.4907
25500;289;17
25833.3;277;16.6433
26166.7;181;13.4536
26500;300;17.3205
26833.3;196;14
27166.7;289;17
27500;286;16.9115
27833.3;188;13.7113
28166.7;307;17.5214
28500;208;14.4222
28833.3;289;17
29166.7;288;16.9706
29500;178;13.3417
29833.3;306;17.4929
30166.7;176;13.2665
30500;286;16.9115
30833.3;269;16.4012
31166.7;189;13.7477
31500;311;17.6352
31833.3;206;14.3527
32166.7;295;17.1756
32500;270;16.4317
32833.3;218;14.7648
33166.7;333;18.2483
33500;297;17.2337
33833.3;195;13.9642
34166.7;272;16.4924
34500;194;13.9284
34833.3;323;17.9722
35166.7;285;16.8819
35500;202;14.2127
35833.3;335;18.303
36166.7;193;13.8924
36500;294;17.1464
36833.3;342;18.4932
37166.7;210;14.4914
37500;288;16.9706
37833.3;200;14.1421
38166.7;324;18
38500;305;17.4642
38833.3;214;14.6287
39166.7;319;17.8606
39500;212;14.5602
39833.3;327;18.0831
40166.7;334;18.2757
40500;219;14.7986
40833.3;303;17.4069
41166.7;246;15.6844
41500;354;18.8149
41833.3;357;18.8944
42166.7;287;16.9411
42500;360;18.9737
42833.3;230;15.1658
43166.7;317;17.8045
43500;356;18.868
43833.3;280;16.7332
44166.7;440;20.9762
44500;272;16.4924
44833.3;416;20.3961
45166.7;416;20.3961
45500;257;16.0312
45833.3;403;20.0749
46166.7;257;16.0312
46500;405;20.1246
46833.3;397;19.9249
47166.7;270;16.4317
47500;360;18.9737
47833.3;264;16.2481
48166.7;346;18.6011
48500;351;18.735
48833.3;225;15
49166.7;370;19.2354
49500;360;18.9737
49833.3;233;15.2643
50166.7;383;19.5704
50500;278;16.6733
50833.3;362;19.0263
51166.7;360;18.9737
51500;214;14.6287
51833.3;352;18.7617
52166.7;259;16.0935
52500;358;18.9209
52833.3;363;19.0526
53166.7;273;16.5227
53500;383;19.5704
53833.3;213;14.5945
54166.7;356;18.868
54500;354;18.8149
54833.3;248;15.748
55166.7;332;18.2209
55500;247;15.7162
55833.3;301;17.3494
56166.7;354;18.8149
56500;259;16.0935
56833.3;378;19.4422
57166.7;245;15.6525
57500;342;18.4932
57833.3;347;18.6279
58166.7;221;14.8661
58500;378;19.4422
58833.3;256;16
59166.7;353;18.7883
59500;346;18.6011
59833.3;231;15.1987
60166.7;380;19.4936
60500;244;15.6205
60833.3;373;19.3132
61166.7;368;19.1833
61500;285;16.8819
61833.3;384;19.5959
62166.7;214;14.6287
62500;389;19.7231
62833.3;374;19.3391
63166.7;260;16.1245
63500;392;19.799
63833.3;274;16.5529
64166.7;375;19.3649
64500;408;20.199
64833.3;276;16.6132
65166.7;375;19.3649
65500;392;19.799
65833.3;263;16.2173
66166.7;382;19.5448
66500;281;16.7631
66833.3;388;19.6977
67166.7;367;19.1572
67500;245;15.6525
67833.3;385;19.6214
68166.7;290;17.0294
68500;427;20.664
68833.3;421;20.5183
69166.7;259;16.0935
69500;452;21.2603
69833.3;251;15.843
70166.7;417;20.4206
70500;394;19.8494
70833.3;300;17.3205
71166.7;415;20.3715
71500;272;16.4924
71833.3;402;20.0499
72166.7;411;20.2731
72500;284;16.8523
72833.3;437;20.9045
73166.7;291;17.0587
73500;444;21.0713
73833.3;447;21.1424
74166.7;299;17.2916
74500;421;20.5183
74833.3;273;16.5227
75166.7;449;21.1896
75500;468;21.6333
75833.3;323;17.9722
76166.7;465;21.5639
76500;298;17.2627
76833.3;449;21.1896
77166.7;452;21.2603
77500;321;17.9165
77833.3;470;21.6795
78166.7;285;16.8819
78500;429;20.7123
78833.3;498;22.3159
79166.7;311;17.6352
79500;470;21.6795
79833.3;313;17.6918
80166.7;432;20.7846
80500;470;21.6795
80833.3;309;17.5784
81166.7;469;21.6564
81500;457;21.3776
81833.3;307;17.5214
82166.7;454;21.3073
82500;336;18.3303
82833.3;472;21.7256
83166.7;442;21.0238
83500;297;17.2337
83833.3;451;21.2368
84166.7;319;17.8606
84500;444;21.0713
84833.3;496;22.2711
